yourlist:M20190701216DA2B77BFBD2E6699CA9B6D1C41EB22597F0Y	Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (synonym )
P36894	P36894	BMR1A_HUMAN	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	BMPR1A ACVRLK3 ALK3	Homo sapiens (Human)	BMPR1A	ACVRLK3 ALK3
P36896	P36896	ACV1B_HUMAN	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	Homo sapiens (Human)	ACVR1B	ACVRLK4 ALK4
P36897	P36897	TGFR1_HUMAN	reviewed	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	TGFBR1	ALK5 SKR4
O00238	O00238	BMR1B_HUMAN	reviewed	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	BMPR1B	
Q13131	Q13131	AAPK1_HUMAN	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26)	PRKAA1 AMPK1	Homo sapiens (Human)	PRKAA1	AMPK1
P54646	P54646	AAPK2_HUMAN	reviewed	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31)	PRKAA2 AMPK AMPK2	Homo sapiens (Human)	PRKAA2	AMPK AMPK2
P16066	P16066	ANPRA_HUMAN	reviewed	Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A)	NPR1 ANPRA	Homo sapiens (Human)	NPR1	ANPRA
P20594	P20594	ANPRB_HUMAN	reviewed	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	NPR2 ANPRB	Homo sapiens (Human)	NPR2	ANPRB
P10398	P10398	ARAF_HUMAN	reviewed	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	Homo sapiens (Human)	ARAF	ARAF1 PKS PKS2
P42684	P42684	ABL2_HUMAN	reviewed	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	Homo sapiens (Human)	ABL2	ABLL ARG
Q13315	Q13315	ATM_HUMAN	reviewed	Serine-protein kinase ATM (EC 2.7.11.1) (Ataxia telangiectasia mutated) (A-T mutated)	ATM	Homo sapiens (Human)	ATM	
Q13535	Q13535	ATR_HUMAN	reviewed	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)	ATR FRP1	Homo sapiens (Human)	ATR	FRP1
Q9UQB9	Q9UQB9	AURKC_HUMAN	reviewed	Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)	AURKC AIE2 AIK3 AIRK3 ARK3 STK13	Homo sapiens (Human)	AURKC	AIE2 AIK3 AIRK3 ARK3 STK13
P30530	P30530	UFO_HUMAN	reviewed	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	AXL UFO	Homo sapiens (Human)	AXL	UFO
P25098	P25098	ARBK1_HUMAN	reviewed	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	GRK2 ADRBK1 BARK BARK1	Homo sapiens (Human)	GRK2	ADRBK1 BARK BARK1
O14874	O14874	BCKD_HUMAN	reviewed	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial (EC 2.7.11.4) (Branched-chain alpha-ketoacid dehydrogenase kinase) (BCKD-kinase) (BCKDHKIN)	BCKDK	Homo sapiens (Human)	BCKDK	
Q12851	Q12851	M4K2_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 2 (EC 2.7.11.1) (B lymphocyte serine/threonine-protein kinase) (Germinal center kinase) (GC kinase) (MAPK/ERK kinase kinase kinase 2) (MEK kinase kinase 2) (MEKKK 2) (Rab8-interacting protein)	MAP4K2 GCK RAB8IP	Homo sapiens (Human)	MAP4K2	GCK RAB8IP
P51451	P51451	BLK_HUMAN	reviewed	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	Homo sapiens (Human)	BLK	
P15056	P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	BRAF	BRAF1 RAFB1
Q13882	Q13882	PTK6_HUMAN	reviewed	Protein-tyrosine kinase 6 (EC 2.7.10.2) (Breast tumor kinase) (Tyrosine-protein kinase BRK)	PTK6 BRK	Homo sapiens (Human)	PTK6	BRK
Q06187	Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	BTK	AGMX1 ATK BPK
O60566	O60566	BUB1B_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	BUB1B BUBR1 MAD3L SSK1	Homo sapiens (Human)	BUB1B	BUBR1 MAD3L SSK1
P50613	P50613	CDK7_HUMAN	reviewed	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	Homo sapiens (Human)	CDK7	CAK CAK1 CDKN7 MO15 STK1
Q14012	Q14012	KCC1A_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)	CAMK1	Homo sapiens (Human)	CAMK1	
Q9UQM7	Q9UQM7	KCC2A_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	CAMK2A CAMKA KIAA0968	Homo sapiens (Human)	CAMK2A	CAMKA KIAA0968
Q13554	Q13554	KCC2B_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	CAMK2B CAM2 CAMK2 CAMKB	Homo sapiens (Human)	CAMK2B	CAM2 CAMK2 CAMKB
Q13555	Q13555	KCC2G_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17)	CAMK2G CAMK CAMK-II CAMKG	Homo sapiens (Human)	CAMK2G	CAMK CAMK-II CAMKG
Q16566	Q16566	KCC4_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)	CAMK4 CAMK CAMK-GR CAMKIV	Homo sapiens (Human)	CAMK4	CAMK CAMK-GR CAMKIV
Q8NCB2	Q8NCB2	CAMKV_HUMAN	reviewed	CaM kinase-like vesicle-associated protein	CAMKV	Homo sapiens (Human)	CAMKV	
O15075	O15075	DCLK1_HUMAN	reviewed	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	DCLK1 DCAMKL1 DCDC3A KIAA0369	Homo sapiens (Human)	DCLK1	DCAMKL1 DCDC3A KIAA0369
O14936	O14936	CSKP_HUMAN	reviewed	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	CASK LIN2	Homo sapiens (Human)	CASK	LIN2
P06493	P06493	CDK1_HUMAN	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	CDK1 CDC2 CDC28A CDKN1 P34CDC2	Homo sapiens (Human)	CDK1	CDC2 CDC28A CDKN1 P34CDC2
O00311	O00311	CDC7_HUMAN	reviewed	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	Homo sapiens (Human)	CDC7	CDC7L1
P24941	P24941	CDK2_HUMAN	reviewed	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2 CDKN2	Homo sapiens (Human)	CDK2	CDKN2
Q00526	Q00526	CDK3_HUMAN	reviewed	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)	CDK3	CDKN3
P11802	P11802	CDK4_HUMAN	reviewed	Cyclin-dependent kinase 4 (EC 2.7.11.22) (Cell division protein kinase 4) (PSK-J3)	CDK4	Homo sapiens (Human)	CDK4	
Q00535	Q00535	CDK5_HUMAN	reviewed	Cyclin-dependent-like kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	CDK5 CDKN5	Homo sapiens (Human)	CDK5	CDKN5
Q00534	Q00534	CDK6_HUMAN	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	CDK6	CDKN6
P49336	P49336	CDK8_HUMAN	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	Homo sapiens (Human)	CDK8	
Q13976	Q13976	KGP1_HUMAN	reviewed	cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)	PRKG1 PRKG1B PRKGR1A PRKGR1B	Homo sapiens (Human)	PRKG1	PRKG1B PRKGR1A PRKGR1B
Q13237	Q13237	KGP2_HUMAN	reviewed	cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)	PRKG2 PRKGR2	Homo sapiens (Human)	PRKG2	PRKGR2
Q14004	Q14004	CDK13_HUMAN	reviewed	Cyclin-dependent kinase 13 (EC 2.7.11.22) (EC 2.7.11.23) (CDC2-related protein kinase 5) (Cell division cycle 2-like protein kinase 5) (Cell division protein kinase 13) (hCDK13) (Cholinesterase-related cell division controller)	CDK13 CDC2L CDC2L5 CHED KIAA1791	Homo sapiens (Human)	CDK13	CDC2L CDC2L5 CHED KIAA1791
O14757	O14757	CHK1_HUMAN	reviewed	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	CHEK1 CHK1	Homo sapiens (Human)	CHEK1	CHK1
O96017	O96017	CHK2_HUMAN	reviewed	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	CHEK2 CDS1 CHK2 RAD53	Homo sapiens (Human)	CHEK2	CDS1 CHK2 RAD53
P48729	P48729	KC1A_HUMAN	reviewed	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	Homo sapiens (Human)	CSNK1A1	
P48730	P48730	KC1D_HUMAN	reviewed	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	Homo sapiens (Human)	CSNK1D	HCKID
P49674	P49674	KC1E_HUMAN	reviewed	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	CSNK1E	Homo sapiens (Human)	CSNK1E	
P78368	P78368	KC1G2_HUMAN	reviewed	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	Homo sapiens (Human)	CSNK1G2	CK1G2
Q9Y6M4	Q9Y6M4	KC1G3_HUMAN	reviewed	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	CSNK1G3	Homo sapiens (Human)	CSNK1G3	
P68400	P68400	CSK21_HUMAN	reviewed	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1	Homo sapiens (Human)	CSNK2A1	CK2A1
P19784	P19784	CSK22_HUMAN	reviewed	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	Homo sapiens (Human)	CSNK2A2	CK2A2
P49759	P49759	CLK1_HUMAN	reviewed	Dual specificity protein kinase CLK1 (EC 2.7.12.1) (CDC-like kinase 1)	CLK1 CLK	Homo sapiens (Human)	CLK1	CLK
P49760	P49760	CLK2_HUMAN	reviewed	Dual specificity protein kinase CLK2 (EC 2.7.12.1) (CDC-like kinase 2)	CLK2	Homo sapiens (Human)	CLK2	
P49761	P49761	CLK3_HUMAN	reviewed	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3	Homo sapiens (Human)	CLK3	
P41279	P41279	M3K8_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 8 (EC 2.7.11.25) (Cancer Osaka thyroid oncogene) (Proto-oncogene c-Cot) (Serine/threonine-protein kinase cot) (Tumor progression locus 2) (TPL-2)	MAP3K8 COT ESTF	Homo sapiens (Human)	MAP3K8	COT ESTF
P07333	P07333	CSF1R_HUMAN	reviewed	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS	Homo sapiens (Human)	CSF1R	FMS
P41240	P41240	CSK_HUMAN	reviewed	Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL)	CSK	Homo sapiens (Human)	CSK	
P27448	P27448	MARK3_HUMAN	reviewed	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (C-TAK1) (cTAK1) (Cdc25C-associated protein kinase 1) (ELKL motif kinase 2) (EMK-2) (Protein kinase STK10) (Ser/Thr protein kinase PAR-1) (Par-1a) (Serine/threonine-protein kinase p78)	MARK3 CTAK1 EMK2	Homo sapiens (Human)	MARK3	CTAK1 EMK2
Q02846	Q02846	GUC2D_HUMAN	reviewed	Retinal guanylyl cyclase 1 (RETGC-1) (EC 4.6.1.2) (Guanylate cyclase 2D, retinal) (Rod outer segment membrane guanylate cyclase) (ROS-GC)	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	Homo sapiens (Human)	GUCY2D	CORD6 GUC1A4 GUC2D RETGC RETGC1
P51841	P51841	GUC2F_HUMAN	reviewed	Retinal guanylyl cyclase 2 (RETGC-2) (EC 4.6.1.2) (Guanylate cyclase 2F, retinal) (Guanylate cyclase F) (GC-F) (Rod outer segment membrane guanylate cyclase 2) (ROS-GC2)	GUCY2F GUC2F RETGC2	Homo sapiens (Human)	GUCY2F	GUC2F RETGC2
P53355	P53355	DAPK1_HUMAN	reviewed	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	DAPK1 DAPK	Homo sapiens (Human)	DAPK1	DAPK
Q9UIK4	Q9UIK4	DAPK2_HUMAN	reviewed	Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)	DAPK2	Homo sapiens (Human)	DAPK2	
Q12852	Q12852	M3K12_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase)	MAP3K12 ZPK	Homo sapiens (Human)	MAP3K12	ZPK
Q09013	Q09013	DMPK_HUMAN	reviewed	Myotonin-protein kinase (MT-PK) (EC 2.7.11.1) (DM-kinase) (DMK) (DM1 protein kinase) (DMPK) (Myotonic dystrophy protein kinase)	DMPK DM1PK MDPK	Homo sapiens (Human)	DMPK	DM1PK MDPK
Q6DT37	Q6DT37	MRCKG_HUMAN	reviewed	Serine/threonine-protein kinase MRCK gamma (EC 2.7.11.1) (CDC42-binding protein kinase gamma) (DMPK-like gamma) (Myotonic dystrophy kinase-related CDC42-binding kinase gamma) (MRCK gamma) (MRCKG) (Myotonic dystrophy protein kinase-like gamma) (Myotonic dystrophy protein kinase-like alpha)	CDC42BPG DMPK2	Homo sapiens (Human)	CDC42BPG	DMPK2
P78527	P78527	PRKDC_HUMAN	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	PRKDC	HYRC HYRC1
Q9Y463	Q9Y463	DYR1B_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	DYRK1B MIRK	Homo sapiens (Human)	DYRK1B	MIRK
Q92630	Q92630	DYRK2_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	DYRK2	Homo sapiens (Human)	DYRK2	
Q9NR20	Q9NR20	DYRK4_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1)	DYRK4	Homo sapiens (Human)	DYRK4	
O00418	O00418	EF2K_HUMAN	reviewed	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	Homo sapiens (Human)	EEF2K	
P00533	P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	EGFR	ERBB ERBB1 HER1
P19525	P19525	E2AK2_HUMAN	reviewed	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	EIF2AK2	PKR PRKR
Q7KZI7	Q7KZI7	MARK2_HUMAN	reviewed	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	MARK2 EMK1	Homo sapiens (Human)	MARK2	EMK1
P21709	P21709	EPHA1_HUMAN	reviewed	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	EPHA1 EPH EPHT EPHT1	Homo sapiens (Human)	EPHA1	EPH EPHT EPHT1
P29317	P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	EPHA2	ECK
P29320	P29320	EPHA3_HUMAN	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	EPHA3 ETK ETK1 HEK TYRO4	Homo sapiens (Human)	EPHA3	ETK ETK1 HEK TYRO4
P54764	P54764	EPHA4_HUMAN	reviewed	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	EPHA4 HEK8 SEK TYRO1	Homo sapiens (Human)	EPHA4	HEK8 SEK TYRO1
P54756	P54756	EPHA5_HUMAN	reviewed	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	EPHA5 BSK EHK1 HEK7 TYRO4	Homo sapiens (Human)	EPHA5	BSK EHK1 HEK7 TYRO4
P29322	P29322	EPHA8_HUMAN	reviewed	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)	EPHA8 EEK HEK3 KIAA1459	Homo sapiens (Human)	EPHA8	EEK HEK3 KIAA1459
